iter	Passed	Remaining
404	6947	1629
405	6964	1612
406	6979	1594
407	6993	1577
408	7010	1559
409	7025	1542
410	7041	1524
411	7056	1507
412	7072	1489
413	7089	1472
414	7104	1455
415	7121	1437
416	7140	1421
417	7157	1404
418	7173	1386
419	7188	1369
420	7204	1351
421	7219	1334
422	7234	1317
423	7250	1299
424	7265	1282
425	7279	1264
426	7295	1247
427	7311	1229
428	7326	1212
429	7342	1195
430	7359	1178
431	7373	1160
432	7389	1143
433	7404	1126
434	7419	1108
435	7437	1091
436	7453	1074
437	7469	1057
438	7485	1040
439	7501	1022
440	7518	1005
441	7534	988
442	7555	972
443	7576	955
444	7594	938
445	7612	921
446	7628	904
447	7643	887
448	7664	870
449	7682	853
450	7698	836
451	7713	819
452	7730	802
453	7747	784
454	7762	767
455	7777	750
456	7790	733
457	7806	715
458	7820	698
459	7838	681
460	7853	664
461	7867	647
462	7883	630
463	7898	612
464	7916	595
465	7931	578
466	7947	561
467	7961	544
468	7978	527
469	7994	510
470	8008	493
471	8025	476
472	8042	459
473	8059	442
474	8074	424
475	8091	407
476	8107	390
477	8123	373
478	8139	356
479	8153	339
480	8171	322
481	8190	305
482	8206	288
483	8221	271
484	8237	254
485	8251	237
486	8267	220
487	8284	203
488	8301	186
489	8317	169
490	8335	152
491	8350	135
492	8365	118
493	8381	101
494	8397	84
495	8414	67
496	8430	50
497	8446	33
498	8462	16
499	8480	0
