iter	RMSE
437	0.280305665
438	0.2799420515
439	0.2798038074
440	0.2796264099
441	0.2792851658
442	0.2788662869
443	0.278761867
444	0.2784699408
445	0.2781187378
446	0.2778030373
447	0.2776858728
448	0.2774905419
449	0.277358148
450	0.2772391175
451	0.2769254638
452	0.2767572732
453	0.2764440893
454	0.2762618639
455	0.2761164955
456	0.2759536734
457	0.2756840304
458	0.2753585848
459	0.2751619312
460	0.2750698028
461	0.2748067468
462	0.2746455332
463	0.274358773
464	0.2740570022
465	0.2737814862
466	0.2736550005
467	0.2735707995
468	0.2732339142
469	0.2730090127
470	0.2728562911
471	0.272682425
472	0.2724748423
473	0.2722706912
474	0.2720557013
475	0.271789309
476	0.271550334
477	0.2712408329
478	0.2711609457
479	0.2710028894
480	0.2707642444
481	0.2706145575
482	0.270463366
483	0.270386826
484	0.270117344
485	0.269893011
486	0.269660523
487	0.2695497346
488	0.2692754197
489	0.2690203414
490	0.2687359988
491	0.2684394629
492	0.2682270117
493	0.2680946663
494	0.2678922915
495	0.2676545082
496	0.2672881629
497	0.2669385192
498	0.2668509447
499	0.2667534869
